C_CUSTKEY,C_ACCTBAL,C_NAME,C_MKTSEGMENT,C_PHONE,C_NATIONKEY,C_ADDRESS,C_COMMENT
20,7603.40,Customer#000000020,FURNITURE,32-957-234-8742,22,JrPk8Pqplj4Ne,regular dependencies serve blithely stealthy dugouts. express deposits kindle never
21,1428.25,Customer#000000021,MACHINERY,18-902-614-8344,8,XYmVpr9yAHDEn,platelets sleep carefully unusual instructions
22,591.98,Customer#000000022,MACHINERY,13-806-545-9701,3,"QI6p41,FNs5k7RZoCCVPUTkUdYpB",brave deposits among the deposits sleep slyly sl
23,3332.02,Customer#000000023,HOUSEHOLD,13-312-472-8245,3,OdY W13N7Be3OC5MpgfmcYss0Wn6TKT,"unusual, regular packages wake. slyly unusual courts wake"
24,9255.67,Customer#000000024,MACHINERY,23-127-851-8031,13,HXAFgIAyjxtdqwimt13Y3OZO 4xeLe7U8PqG,"even, final requests wake furiously bl"
25,7133.70,Customer#000000025,FURNITURE,22-603-468-3533,12,Hp8GyFQgGHFYSilH5tBfe,"regular, ironic requests integrate furi"
26,5182.05,Customer#000000026,AUTOMOBILE,32-363-455-4837,22,8ljrc5ZeMl7UciP,"bold, final ideas sleep carefully never express foxes."
27,5679.84,Customer#000000027,BUILDING,13-137-193-2709,3,IS8GIyxpBrLpMT0u7,"ironic, pending courts against the special, regular theodolites nag around the quick"
28,1007.18,Customer#000000028,FURNITURE,18-774-241-1462,8,"iVyg0daQ,Tha8x2WPWA9m2529m",even pains sleep quickly along the slyly even requests. slyly silent packages wake closely. fluffil
29,7618.27,Customer#000000029,FURNITURE,10-773-203-7342,0,"sJ5adtfyAkCK63df2,vF25zyQMVYE34uh",fluffily regular instructions nag fluffily during th
30,9321.01,Customer#000000030,BUILDING,11-764-165-5076,1,nJDsELGAavU63Jl0c5NKsKfL8rIJQQkQnYL2QJY,regular deposits hinder slyly ironic foxes
31,5236.89,Customer#000000031,HOUSEHOLD,33-197-837-7094,23,LUACbO0viaAv6eXOAebryDB xjVst,"carefully even theodolites doubt final, final deposits. regular, ironic tithes sleep"
32,3471.53,Customer#000000032,BUILDING,25-430-914-2194,15,"jD2xZzi UmId,DCtNBLXKj9q0Tlp2iQ6ZcO3J",carefully regular excuses detect furiously along the f
33,-78.56,Customer#000000033,AUTOMOBILE,27-375-391-1280,17,qFSlMuLucBmx9xnn5ib2csWUweg D,pending theodolites sleep after the furiously express deposits? requests according to the pending platelets s
34,8589.70,Customer#000000034,HOUSEHOLD,25-344-968-5422,15,"Q6G9wZ6dnczmtOx509xgE,M2KV",permanently ironic instructions above the asymptotes
35,1228.24,Customer#000000035,HOUSEHOLD,27-566-888-7431,17,TEjWGE4nBzJL2,"even, unusual platelets about the slyly even platelets nag quickly furiously express accounts. carefully"
36,4987.27,Customer#000000036,BUILDING,31-704-669-5769,21,"3TvCzjuPzpJ0,DdJ8kW5U",ideas hinder blithely final deposits. fu
37,-917.75,Customer#000000037,FURNITURE,18-385-235-7162,8,"7EV4Pwh,3SboctTWt","ironic, special instructions detect quickly above the even theodolites. quickly unusual requests maintain"
38,6345.11,Customer#000000038,HOUSEHOLD,22-306-880-7212,12,a5Ee5e9568R8RLP 2ap7,"enticing deposits are slyly beyond the final, special requests-- slyly ironic accounts hagg"
39,6264.31,Customer#000000039,AUTOMOBILE,12-387-467-6509,2,"nnbRg,Pvy33dfkorYE FdeZ60",theodolites sleep ironic foxes. fluffily ironic requests detect carefu
40,1335.30,Customer#000000040,BUILDING,13-652-915-8939,3,gOnGWAyhSV1ofv,slyly regular requests haggle furiously regular theodol
41,270.95,Customer#000000041,HOUSEHOLD,20-917-711-4011,10,IM9mzmyoxeBmvNw8lA7G3Ydska2nkZF,carefully ironic instructions w
42,8727.01,Customer#000000042,BUILDING,15-416-330-4175,5,ziSrvyyBke,even sentiments wake. slyly final packages nag against the carefully unusual theodolites. slyly pending pinto beans
43,9904.28,Customer#000000043,MACHINERY,29-316-665-2897,19,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,idly regular sentiments affix. slyly pending foxes around the deposits haggle according to th
44,7315.94,Customer#000000044,AUTOMOBILE,26-190-260-5375,16,"Oi,dOSPwDu4jo4x,,P85E0dmhZGvNtBwi",regular packages after the furiously ironic tithes play blithely about the instru
45,9983.38,Customer#000000045,AUTOMOBILE,19-715-298-9917,9,"4v3OcpFgoOmMG,CbnF,4mdC",regular packages among the slyly regular attainments are asymptotes. special asymptotes haggle blithely
46,5744.59,Customer#000000046,AUTOMOBILE,16-357-681-2007,6,eaTXWWm10L9,carefully ironic theodolites haggle furiously carefully even instructions. bold depo
47,274.58,Customer#000000047,BUILDING,12-427-271-9466,2,b0UgocSqEW5 gdVbhNT,blithely final deposits about the furiously special packages play even idea
48,3792.50,Customer#000000048,BUILDING,10-508-348-5882,0,0UU iPhBupFvemNB,slyly ironic ideas wake fluffily. carefully even dugouts prom
49,4573.94,Customer#000000049,FURNITURE,20-908-631-4424,10,"cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl",thin ideas are foxes. furiously regular t
50,4266.13,Customer#000000050,MACHINERY,16-658-112-3221,6,9SzDYlkzxByyJ1QeTI o,"express, bold frets boost among the express ideas. final, express requests boost platelets."
51,855.87,Customer#000000051,FURNITURE,22-344-885-4251,12,"uR,wEaiTvo4",silent dependencies about the deposits haggle slyly above the blithely unusual account
52,5630.28,Customer#000000052,HOUSEHOLD,21-186-284-5998,11,7 QOqGqqSy9jfV51BC71jcHJSD0,patterns cajole slyly among the blithely regul
53,4113.64,Customer#000000053,HOUSEHOLD,25-168-852-5363,15,HnaxHzTfFTZs8MuCpJyTbZ47Cm4wFOOgib,ironic requests against the carefully ironic dolphins nag fluffily against
54,868.90,Customer#000000054,AUTOMOBILE,14-776-370-4745,4,",k4vf 5vECGWFy,hosTE,","final, unusual requests alongside of the foxes cajole against the carefully unusual"
55,4572.11,Customer#000000055,MACHINERY,20-180-440-8525,10,zIRBR4KNEl HzaiV3a i9n6elrxzDEh8r8pDom,carefully regular requests against the fluffily special accounts cajole slyly slyly
56,6530.86,Customer#000000056,FURNITURE,20-895-685-6920,10,BJYZYJQk4yD5B,regular accounts use furiously. instructions snooze. blithely d
57,4151.93,Customer#000000057,AUTOMOBILE,31-835-306-1650,21,97XYbsuOPRXPWU,accounts are. quickly regular pinto beans subla
58,6478.46,Customer#000000058,HOUSEHOLD,23-244-493-2508,13,g9ap7Dk1Sv9fcXEWjpMYpBZIRUohi T,packages wake slyly about the blithely ironic decoys. ironic ideas sleep. slyly ironic packages
59,3458.60,Customer#000000059,MACHINERY,11-355-584-3112,1,zLOCP0wh92OtBihgspOGl4,even requests dazzle quickly along the fi
60,2741.87,Customer#000000060,MACHINERY,22-480-575-5866,12,FyodhjwMChsZmUz7Jz0H,"pending packages are blithely fluffily pending platelets. unusual instructions instead of the bold,"
61,1536.24,Customer#000000061,FURNITURE,27-626-559-8599,17,9kndve4EAJxhg3veF BfXr7AqOsT39o gtqjaYE,blithely even deposits boost. accounts sleep furiously bold deposits. unusu
62,595.61,Customer#000000062,MACHINERY,17-361-978-7059,7,"upJK2Dnw13,",deposits cajole after the slyly unusual instructions. quickly fi
63,9331.13,Customer#000000063,AUTOMOBILE,31-952-552-9584,21,IXRSpVWWZraKII,blithely even sentiments nag; blithely
64,-646.64,Customer#000000064,BUILDING,13-558-731-7204,3,"MbCeGY20kaKK3oalJD,OT",regular accounts mold blithely. quickly quick theodolites use never. theodolites boost quickl
65,8795.16,Customer#000000065,AUTOMOBILE,33-733-623-5267,23,"RGT yzQ0y4l0H90P783LG4U95bXQFDRXbWa1sl,X",slyly regular excuses about the
66,242.77,Customer#000000066,HOUSEHOLD,32-213-373-5094,22,XbsEqXH1ETbJYYtA1A,final multipliers nag furiously. ironi
67,8166.59,Customer#000000067,MACHINERY,19-403-114-4356,9,rfG0cOgtr5W8 xILkwp9fpCS8,furiously even packages are quic
68,6853.37,Customer#000000068,HOUSEHOLD,22-918-832-2411,12,"o8AibcCRkXvQFh8hF,7o","blithely stealthy deposits wake. regular, regular gifts above the even, permanent foxes are furiously betw"
69,1709.28,Customer#000000069,HOUSEHOLD,19-225-978-5670,9,Ltx17nO9Wwhtdbe9QZVxNgP98V7xW97uvSH1prEw,carefully regular deposits cajole above the quickly
70,4867.52,Customer#000000070,FURNITURE,32-828-107-2832,22,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,slowly unusual realms detect express accounts. quickly pending accounts nod quickly ironic asymptotes. furiously ir
71,-611.19,Customer#000000071,HOUSEHOLD,17-710-812-5403,7,"TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B",furiously regular frets wake carefully. bravely pending account
72,-362.86,Customer#000000072,FURNITURE,12-759-144-9689,2,"putjlmskxE,zs,HqeIA9Wqu7dhgH5BVCwDwHHcf",carefully express deposits nod blithely. quickly
73,4288.50,Customer#000000073,BUILDING,10-473-439-3214,0,8IhIxreu4Ug6tt5mog4,even ideas boost. furiously final requests
74,2764.43,Customer#000000074,MACHINERY,14-199-862-7209,4,"IkJHCA3ZThF7qL7VKcrU nRLl,kylf","busy, blithe accounts cajole furiously al"
75,6684.10,Customer#000000075,AUTOMOBILE,28-247-803-9025,18,"Dh 6jZ,cwxWLKQfRKkiGrzv6pm","regular requests near the ironic, even accounts would sleep alongside of"
76,5745.33,Customer#000000076,FURNITURE,10-349-718-3044,0,"m3sbCvjMOHyaOofH,e UkGPtqc4",blithely final theodolites across the furiously stealthy attainments haggle sl
77,1738.87,Customer#000000077,BUILDING,27-269-357-4674,17,4tAE5KdMFGD4byHtXF92vx,slyly unusual dolphins cajole. asy
78,7136.97,Customer#000000078,FURNITURE,19-960-700-9191,9,"HBOta,ZNqpg3U2cSL0kbrftkPwzX",dependencies are slyly. excuses haggle furiously slyly even
79,5121.28,Customer#000000079,MACHINERY,25-147-850-4166,15,"n5hH2ftkVRwW8idtD,BmM2",carefully regular packages cajole along the sly
80,7383.53,Customer#000000080,FURNITURE,10-267-172-7101,0,"K,vtXp8qYB","bold asymptotes about the express, express asymptotes wake flu"
81,2023.71,Customer#000000081,BUILDING,30-165-277-3269,20,SH6lPA7JiiNC6dNTrR,requests doze. slyly unusual deposits about the regular theodolites boost f
82,9468.34,Customer#000000082,AUTOMOBILE,28-159-442-5305,18,"zhG3EZbap4c992Gj3bK,3Ne,Xn",furiously ironic deposits mold across the pending packag
83,6463.51,Customer#000000083,BUILDING,32-817-154-4122,22,HnhTNB5xpnSF20JBH4Ycs6psVnkC3RDf,final accounts nag carefully?
84,5174.71,Customer#000000084,FURNITURE,21-546-818-3802,11,lpXz6Fwr9945rnbtMc8PlueilS1WmASr CB,carefully ironic theodolites sublate
85,3386.64,Customer#000000085,FURNITURE,15-745-585-8219,5,siRerlDwiolhYR 8FgksoezycLj,final deposits inside the slyly express deposits wake furiously even foxes.
86,3306.32,Customer#000000086,HOUSEHOLD,10-677-951-2353,0,US6EGGHXbTTXPL9SBsxQJsuvy,fluffily fluffy foxes sleep slyly about the
87,6327.54,Customer#000000087,FURNITURE,33-869-884-7053,23,hgGhHVSWQl 6jZ6Ev,"bold, unusual excuses haggle daringly according to the carefully express requests! theod"
88,8031.44,Customer#000000088,AUTOMOBILE,26-516-273-2566,16,wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg,ironic packages ought to sleep packages. enticingly e
89,1530.76,Customer#000000089,FURNITURE,24-394-451-5404,14,"dtR, y9JQWUO6FoJExyp8whOU",bold accounts cajole furiously after the permanently even excuses. accounts cajole. fluffily even requ
90,7354.23,Customer#000000090,BUILDING,26-603-491-1238,16,QxCzH7VxxYUWwfL7,blithely express packages boost quickly. enticingly ironic instruct
91,4643.14,Customer#000000091,AUTOMOBILE,18-239-400-3677,8,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,fluffily stealthy pinto beans cajole. fluffily unusual packages are furiously about the final theodolites. furi
92,1182.91,Customer#000000092,MACHINERY,12-446-416-8471,2,"obP PULk2LH LqNF,K9hcbNqnLAkJVsl5xqSrY,",carefully final packages wake
93,2182.52,Customer#000000093,MACHINERY,17-359-388-5266,7,EHXBr2QGdh,fluffily even packages cajole furiously along the notornis. quickly even ideas hag
94,5500.11,Customer#000000094,HOUSEHOLD,19-953-499-8833,9,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,"furiously even requests nag slyly ironic accounts. blithely bold packages across the final,"
95,5327.38,Customer#000000095,MACHINERY,25-923-255-2929,15,"EU0xvmWvOmUUn5J,2z85DQyG7QCJ9Xq7",final foxes use carefully. accounts integrate furiously. carefully special requests
96,6323.92,Customer#000000096,AUTOMOBILE,18-422-845-1202,8,vWLOrmXhRR,special ideas are fluffily fluffily even reque
97,2164.48,Customer#000000097,AUTOMOBILE,27-588-919-5638,17,"OApyejbhJG,0Iw3j rd1M",carefully final packages are slyly aga
98,-551.37,Customer#000000098,BUILDING,22-885-845-6889,12,7yiheXNSpuEAwbswDW,blithely final foxes along the unusual realms detect accounts. idle theodolites use pinto beans. ev
99,4088.65,Customer#000000099,HOUSEHOLD,25-515-237-9232,15,szsrOiPtCHVS97Lt,deposits nod furiously alongside of the slyl
100,9889.89,Customer#000000100,FURNITURE,30-749-445-4907,20,fptUABXcmkC5Wx,final requests solve slyly regular instructions. slyly regular excuses solve above the carefully express accounts
101,7470.96,Customer#000000101,MACHINERY,12-514-298-3699,2,sMmL2rNeHDltovSm Y,even accounts are slyly quickly ironic theodolites. fluffily ironic accounts cajole bli
102,8462.17,Customer#000000102,BUILDING,29-324-978-8538,19,UAtflJ06 fn9zBfKjInkQZlWtqaA,"regular requests above the regular, ironic asym"
103,2757.45,Customer#000000103,BUILDING,19-216-107-2107,9,"8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a",regular packages wake slyly above the regular ideas. regular excuses after the slyly regul
104,-588.38,Customer#000000104,FURNITURE,20-966-284-8065,10,9mcCK L7rt0SwiYtrbO88DiZS7U d7M,slyly special dependencies sleep furiously furiously final instructions. ironic theodolites sleep caref
105,9091.82,Customer#000000105,MACHINERY,20-793-553-6417,10,4iSJe4L SPjg7kJj98Yz3z0B,quietly express ideas wake regular courts. carefully express instructi
106,3288.42,Customer#000000106,MACHINERY,11-751-989-4627,1,xGCOEAUjUNG,requests sleep carefully among the blithely ironic pac
107,2514.15,Customer#000000107,AUTOMOBILE,25-336-529-9919,15,"Zwg64UZ,q7GRqo3zm7P1tZIRshBDz",packages haggle according to the dependencies. blithely even deposits shall nag? slyly regular courts nag bli
108,2259.38,Customer#000000108,BUILDING,15-908-619-7526,5,GPoeEvpKo1,blithely silent excuses cajole furiously. slyly even foxes integrate quickly regular
109,-716.10,Customer#000000109,BUILDING,26-992-422-8153,16,OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c,quickly bold asymptotes haggle dolphins. fu
110,7462.99,Customer#000000110,AUTOMOBILE,20-893-536-2069,10,mymPfgphaYXNYtk,"blithely pending packages haggle slyly. unusual, bold accoun"
111,6505.26,Customer#000000111,MACHINERY,32-582-283-7528,22,CBSbPyOWRorloj2TBvrK9qp9tHBs,quietly ironic pinto beans use about the quickly furious foxes. final accounts cajole quickly. furiously
112,2953.35,Customer#000000112,FURNITURE,29-233-262-8382,19,RcfgG3bO7QeCnfjqJT1,"quickly express foxes are blithely. special, bold instructions unwind afte"
113,2912.00,Customer#000000113,BUILDING,22-302-930-4756,12,"eaOl5UBXIvdY57rglaIzqvfPD,MYfK","special, special dependencies sleep car"
114,1027.46,Customer#000000114,FURNITURE,24-805-212-7646,14,xAt 5f5AlFIU,furiously special excuses according to the somas boost furiously above the
115,7508.92,Customer#000000115,HOUSEHOLD,18-971-699-1843,8,0WFt1IXENmUT2BgbsB0ShVKJZt0HCBCbFl0aHc,"finally sly ideas sleep quickly final, regular excuses. blithely even instructions according to the quickly"
116,8403.99,Customer#000000116,BUILDING,26-632-309-5792,16,"yCuVxIgsZ3,qyK2rloThy3u",carefully final dependencies wake
117,3950.83,Customer#000000117,FURNITURE,34-403-631-3505,24,"uNhM,PzsRA3S,5Y Ge5Npuhi","ironic requests cajole furiously around the regular, special requests. dependencies grow quickly. slyly regu"
118,3582.37,Customer#000000118,AUTOMOBILE,28-639-943-7051,18,OVnFuHygK9wx3xpg8,"foxes are slyly. ironic deposits haggle. theodolites haggle furiously quickly silent pinto beans. pending,"
119,3930.35,Customer#000000119,FURNITURE,17-697-919-8406,7,M1ETOIecuvH8DtM0Y0nryXfW,"regular, ironic theodolites alongside of the instructions haggle carefully even requests. packages"
120,363.75,Customer#000000120,MACHINERY,22-291-534-1571,12,zBNna00AEInqyO1,carefully regular deposits breach slyly carefully careful accounts. carefully unusu
121,6428.32,Customer#000000121,BUILDING,27-411-990-2959,17,tv nCR2YKupGN73mQudO,excuses would affix. slyly unusual packages according to the permanent acc
122,7865.46,Customer#000000122,HOUSEHOLD,13-702-694-4520,3,yp5slqoNd26lAENZW3a67wSfXA6hTF,furiously regular instructions cajole furiously ideas. quickly bold foxes wake careful
123,5897.83,Customer#000000123,BUILDING,15-817-151-1168,5,YsOnaaER8MkvK5cpf4VSlq,slyly regular accounts use blithely. silent instructions haggle blithely silent packages. ironic ac
124,1842.49,Customer#000000124,AUTOMOBILE,28-183-750-7809,18,"aTbyVAW5tCd,v09O",final requests along the special reque
125,-234.12,Customer#000000125,FURNITURE,29-261-996-3120,19,",wSZXdVR xxIIfm9s8ITyLl3kgjT6UC07GY0Y",special instructions use above the carefully quick packages. closely fi
126,1001.39,Customer#000000126,HOUSEHOLD,32-755-914-7592,22,ha4EHmbx3kg DYCsP6DFeUOmavtQlHhcfaqr,carefully special requests after the slyly regular packages sleep furiously slyly final epitaphs.
127,9280.71,Customer#000000127,MACHINERY,31-101-672-2951,21,Xyge4DX2rXKxXyye1Z47LeLVEYMLf4Bfcj,slyly pending deposits sleep according to the furiously regular packages. slyly ironic packages s
128,-986.96,Customer#000000128,HOUSEHOLD,14-280-874-8044,4,AmKUMlJf2NRHcKGmKjLS,"instructions nag ironic foxes. regular, pending platelets bo"
129,9127.27,Customer#000000129,HOUSEHOLD,17-415-148-7416,7,q7m7rbMM0BpaCdmxloCgBDRCleXsXkdD8kf,"carefully regular deposits sleep furiously regular, final requests. grouches"
130,5073.58,Customer#000000130,HOUSEHOLD,19-190-993-9281,9,RKPx2OfZy0Vn 8wGWZ7F2EAvmMORl1k8iH,blithely express packages affix fu
131,8595.53,Customer#000000131,HOUSEHOLD,21-840-210-3572,11,"jyN6lAjb1FtH10rMC,XzlWyCBrg75",blithely final foxes along the carefully silent theodolite
132,162.57,Customer#000000132,HOUSEHOLD,14-692-150-9717,4,QM5YabAsTLp9,silent packages haggle carefully even
133,2314.67,Customer#000000133,AUTOMOBILE,27-408-997-8430,17,IMCuXdpIvdkYO92kgDGuyHgojcUs88p,regular sheaves cajole fluffily slyly final deposits. carefully ironic packa
134,4608.90,Customer#000000134,BUILDING,21-200-159-5932,11,sUiZ78QCkTQPICKpA9OBzkUp2FM,blithely slow attainments are about the bold
135,8732.91,Customer#000000135,FURNITURE,29-399-293-6241,19,"oZK,oC0 fdEpqUML",busily final deposits run furiously-- quickly unusual requests across the slyly express multipliers wa
136,-842.39,Customer#000000136,FURNITURE,17-501-210-4726,7,"QoLsJ0v5C1IQbh,DS1",furiously express accounts cajole: blithely pendin
137,7838.30,Customer#000000137,HOUSEHOLD,26-777-409-5654,16,cdW91p92rlAEHgJafqYyxf1Q,"unusual, regular instructions sleep express packages. iro"
138,430.59,Customer#000000138,MACHINERY,15-394-860-4589,5,5uyLAeY7HIGZqtu66Yn08f,quickly final accounts are blithely fluffily final acco
139,7897.78,Customer#000000139,MACHINERY,19-140-352-1403,9,3ElvBwudHKL02732YexGVFVt,blithely special requests x-ray furiously. quickly final acco
140,9963.15,Customer#000000140,MACHINERY,14-273-885-6505,4,"XRqEPiKgcETII,iOLDZp5jA",furiously even deposits are furiously. silent platelets are alongsid
141,6706.14,Customer#000000141,FURNITURE,11-936-295-6204,1,"5IW,WROVnikc3l7DwiUDGQNGsLBGOL6Dc0",special theodolites engage quickly ironi
142,2209.81,Customer#000000142,AUTOMOBILE,19-407-425-2584,9,"AnJ5lxtLjioClr2khl9pb8NLxG2,",blithely ironic packages kindle blithely. regular requests run. s
143,2186.50,Customer#000000143,MACHINERY,26-314-406-7725,16,681r22uL452zqk 8By7I9o9enQfx0,slyly special accounts cajole furiously among the dinos. ironic requests among the blithely s
144,6417.31,Customer#000000144,MACHINERY,11-717-379-4478,1,VxYZ3ebhgbltnetaGjNC8qCccjYU05 fePLOno8y,fluffily regular requests at the blithely even theodolites haggle around the requests. special frets x-
145,9748.93,Customer#000000145,HOUSEHOLD,23-562-444-8454,13,kQjHmt2kcec cy3hfMh969u,always unusual ideas boost fluffily about the fluffily unusual deposits. fluffily unusual dolphins p
146,3328.68,Customer#000000146,FURNITURE,13-835-723-3223,3,"GdxkdXG9u7iyI1,,y5tq4ZyrcEy",ironic dependencies affix fluffily furiously ironic accounts. blithel
147,8071.40,Customer#000000147,AUTOMOBILE,28-803-187-4335,18,"6VvIwbVdmcsMzuu,C84GtBWPaipGfi7DV",blithely ironic deposits nag according to the furiously ironic request
148,2135.60,Customer#000000148,HOUSEHOLD,21-562-498-6636,11,BhSPlEWGvIJyT9swk vCWE,final pinto beans integrate bli
149,8959.65,Customer#000000149,AUTOMOBILE,29-797-439-6760,19,3byTHCp2mNLPigUrrq,fluffily unusual theodolites x-ray. even deposits should haggle through the slyly even warthogs
150,3849.48,Customer#000000150,MACHINERY,28-328-564-7630,18,zeoGShTjCwGPplOWFkLURrh41O0AZ8dwNEEN4,"furiously ironic excuses wake. regular, bold packages use carefully across t"
151,5187.02,Customer#000000151,HOUSEHOLD,29-433-197-6339,19,"LlyEtNEXT6kkZ,kGP46H",regular foxes boost special accounts. furiously re
152,1215.18,Customer#000000152,BUILDING,18-585-850-3926,8,PDrllSkScKLh4lr19gmUZnK,carefully unusual accounts against the carefully final sentiments nag carefully
153,5454.26,Customer#000000153,HOUSEHOLD,16-342-316-2815,6,kDzx11sIjjWJm1,carefully special packages after the blithely regu
154,4695.12,Customer#000000154,FURNITURE,29-522-835-6914,19,2LAlU fDHkOqbXjHHDqw1mJQNC,carefully express warthogs according to the furiously regular dependencies s
155,5902.85,Customer#000000155,AUTOMOBILE,10-566-282-8705,0,"l,sSphiStMgdrxpxi",regular platelets cajole furiously accounts. furiously pending packages sleep
156,9302.95,Customer#000000156,AUTOMOBILE,19-723-913-3943,9,5OS0edX2Y6B1cf9wJNuOQWgrrZccXk9,furiously ironic courts poach furious
157,9768.73,Customer#000000157,BUILDING,25-207-442-1556,15,HGEouzCcFrNd nBAdsCRjsMxKOvYZdbwA7he5w9v,"accounts cajole. always regular requests cajole evenly according to the even, ironic"
158,6160.95,Customer#000000158,AUTOMOBILE,20-383-680-1329,10,"2HaYxi0J1620aoI1CdFyrW,rWOy",regular pinto beans haggle quickly above the slyly close deposits. bold pl
159,2060.06,Customer#000000159,HOUSEHOLD,20-888-668-2668,10,"KotsdDO6EHnysVu922s6pjZpG,vlT",final accounts across the blithely furious acc
160,4363.17,Customer#000000160,MACHINERY,23-428-666-4806,13,5soVQ3dOCRBWBS,"final, final deposits haggle along the blithe"
161,3714.06,Customer#000000161,MACHINERY,17-805-718-2449,7,"2oRkx,NtjFUh",slyly even packages integrate slyly throu
162,6268.99,Customer#000000162,MACHINERY,18-131-101-2267,8,JE398sXZt2QuKXfJd7poNpyQFLFtth,"final, special ideas might affix fluffily;"
163,2948.61,Customer#000000163,FURNITURE,31-863-349-4121,21,OgrGcOnm4whd0f,final realms according to the bli
164,208.45,Customer#000000164,HOUSEHOLD,14-565-638-9768,4,YDW51PBWLXLnbQlKC,notornis across the slyly regular deposits integrate over the furiously final requests! fi
165,3349.92,Customer#000000165,HOUSEHOLD,10-927-209-5601,0,8pc6kwBmwBdEnfVP53aqL9DM4LymC4,"express accounts along the ironic patterns nod beneath the special, even package"
166,2042.21,Customer#000000166,FURNITURE,20-320-530-5920,10,15HWGtwoP77EJfd95HxtMSTZUelV8NOKne2,furiously final sauternes dazzle furiously. blithely express requests wake quickly. carefully pending foxes wake. re
